id	sentences
ipv_1	तेरो अश्लिल फोटोहरू म सार्वजनिक गरिदिन्छु ।
ipv_2	उसको नग्न फोटोहरु म सँग छन् ।
ipv_3	तँलाई मैले त्यति माया गरेपनि अर्को सँग पोइलो गइस् ।
ipv_4	तँ कुकुरनी मेरो सब सम्पत्ति सक्काएर गइस ।
ipv_5	मेरो बुढा जस्तो पापी अरु को छ होला र यो संसारमा ।
ipv_6	आफ्नो घर बिगारेर अब अर्काको घर पनि बिगार्न जा ।
ipv_7	तेरो सब कुराहरु मलाई थाहा छ, कुन दिन सब सार्वजनिक गरिदिन्छु ।
ipv_8	मेरो बुढी जस्तो खत्तम आइमाई अहिले सम्म देखेको छैन ।
ipv_9	मेरी प्रेमिकाले मेरो जिन्दगी बिगारेर गई ।
ipv_10	सम्पत्तिकै लागि बिहे गरेकी रैछ त्यसले ।
ipv_11	आखिर आफ्नो औकात देखाईहाल्यो, केटि मान्छेको जात नै यस्तो हो ।
ipv_12	भनुं भने महिला हिंसा होला नभनम भने जानीजानी ४ जनाको बुढो पोइसँग गएपछी आरुके भेटोस |
ipv_13	तिमि त बेस्याको स्तर भन्दा नि तल झरिउ, तिमीलाई बेस्या भन्यो भने नि शब्दको बदनामी हुन्छ |
ipv_14	तैंले मलाई धोका दिएकी म तेरो बिहे हुन दिन्न |
ipv_15	किन फोन उठाउन ढिला, कुनचै सँग गफमा व्यस्त थिस |
ipv_16	तँलाई लाज छैन आलिकती बच्चाको माया लाग्दैन |
ipv_17	मलाई पैसा पठाउनु भएन भने तपाईंको परिवारलाई दाइजोको मुद्दामा जेल हाल्दिन्छु |
ipv_18	मैले दुःख गरेर पठाएको पैसाले नाठो घुमाउँदै हिडिस् |
ipv_19	यो मेरो बच्चा होइन कुनचाहिँ नाठोको भुँडी बोकिस् |
ipv_20	तैंले मसँग बिहे गरिनस् भने म आत्महत्या गरिदिन्छु |
ipv_21	मलाई भेट्न आएनौ भने तिम्रो अश्लिल फोटोहरु तिम्रो परिवारलाई पठाइदिन्छु |
ipv_22	यो मेरो बच्चा होइन म जस्तै अरुसँग नि सुतिस् होला नि ?
ipv_23	गर्भपतन गराइस भने म तँलाई नि मारिदिन्छु |
ipv_24	मेरो साथीहरूसँग यौनसम्पर्क राख्, नत्र घरबाट निकालिदिन्छु |
ipv_25	त्यो केटि गोल्ड डीगर रहिछे, मेरो पैसाको लागि मायाको नाटक गरेकी रहिछे |
ipv_26	त्यो केटो झुटो, नट काम, मनोरोगी, नियन्त्रण गर्ने र चिसो मनको छ, मेरो माया बुझेन|
ipv_27	मेरो श्रीमान् एक घिनलाग्दो र स्थुल मान्छे हो |
ipv_28	ऊ र उनकी प्रेमीकाले छिटो धनी बन्नकालागि अश्लिल फोटोहरु बनाएर ब्लाकमेल गरे |
ipv_29	ऊ राक्षसजस्तै भैरहेको थियो,सेक्सको लागि बारम्बार प्रस्ताब समेत गर्थ्यो |
ipv_30	उसले दिनदिनै नयाँ फोटो माग्न थाल्यो, म हदैसम्म जिद्दी गरे, दिन्न पनि भनें तर ऊ मानेन |
ipv_31	यो कुकुर भए त खेदौन मिल्थ्यो तर कुकुरको छाउरा रहेछ |
ipv_32	तैंले गर्दा मेरो जिन्दगि बर्बाद भयो । म तेरो जिन्दगि पनि बर्बाद गर्दिन्छु ।
