id	sentences
non_ipv_1	तिमी  कति राम्री छौ |
non_ipv_2	म तिमीलाई  माया गर्छु |
non_ipv_3	मेरो नाम झिलमिल हो |
non_ipv_4	म तिमीलाई धेरै चाहन्छु  |
non_ipv_5	म जावलाखेलमा बस्छु |
non_ipv_6	तिमी  कता बस्छौ |
non_ipv_7	तिमीलाई म राम्रोसंग चिन्छु |
non_ipv_8	मलाई तिमी  सारै मन पर्छ |
non_ipv_9	कति राम्री हुनसकेकी के तिमी  |
non_ipv_10	सानु तिमी  र म भेटम न ल |
non_ipv_11	बादरनी मलाई भेट्न आउन |
non_ipv_12	किन तिमीले फोन ढिला उठाको |
non_ipv_13	फोन छिटो answer गरन |
non_ipv_14	सानु I Love U |
non_ipv_15	आज  हामी घुम्न जाम न ल |
non_ipv_16	त कस्ती राम्री देखेकी होस् के आज |
non_ipv_17	बेलुका call गर्छु ल |
non_ipv_18	8 बजे तिर online आउ ल |
non_ipv_19	नक्कली मेरी माया |
non_ipv_20	राम्री मान्छे |
non_ipv_21	कति राम्री हो के |
non_ipv_22	तिम्रो धेरै कुराहरु सुधार्नु पर्नी छ |
non_ipv_23	तिम्रो बानी सुधार गर्नु पर्छ |
non_ipv_24	मलाई तिम्रो धेरै बोल्नी बानी मन पर्दैन |
non_ipv_25	जति बेला नि call नगर न |
non_ipv_26	मलाई काममा distrub गर्नी होइन है |
non_ipv_27	फोन उठाउन किन ढिला भयो |
non_ipv_28	आज म साथीहरु सँग घुम्न जान्छु ल |
non_ipv_29	मलाई message नगर म तिमीलाई माया गर्दिन |
non_ipv_30	राती कल गर्नु है |
non_ipv_31	तिमि कति धेरै बोलेको के अलि कम् बोलन  ल |
non_ipv_32	message को reply किन नगरेकी |
non_ipv_33	Reply छिटो गरन |
non_ipv_34	मलाई तिम्रो फोटो पठाउ |
non_ipv_35	तिमि को सँग घुम्न गाको आज ?
non_ipv_36	भोलि फिल्म हेर्न जाम न ल |
non_ipv_37	तिमि र म coffee खान जाम ल |
non_ipv_38	तिम्रो घरमा को को हुनुहुन्छ ?
non_ipv_39	तिम्रो परिवारमा को को हुनुहुन्छ ?
non_ipv_40	तिमि कान्छी छोरि हो ?
