id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
1531985810471649280,https://twitter.com/shailomm/status/1531985810471649280,Wed Jun 01 13:07:34 +0000 2022,2022-06-01 13:07:34+00:00,shailomm,@MatangaSunil 🤣 अवसरवादी,reply,,,,,1,MatangaSunil,1531978931590402048,1509482033856229378,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",907343639231131648,Mon Sep 11 20:42:36 +0000 2017,False,"धर्मो रक्षति रक्षितः
तुम धर्म की रक्षा करोगे धर्म तुम्हारी रक्षा करेगा
अन्याय/पाप/नारीअपमान/अधिकारहन्न का अंत करना ही धर्म है अधर्म नाश के लिए हिंसा भी पुण्य है",36268,527,1739,0,आपके दिल मे,गौतम,25671,,,False
1531901635567308800,https://twitter.com/carkey007/status/1531901635567308800,Wed Jun 01 07:33:05 +0000 2022,2022-06-01 07:33:05+00:00,carkey007,@KTnepal @RabindraMishra अवसरवादी झुण्डहरुको भनाइ पनि ताजुब लाग्छ भन्या।,reply,,,,,4,KTnepal,1531868735455174656,1200433244,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2602470710,Fri Jul 04 00:21:25 +0000 2014,False,गन्तव्यकाे खोजीमा बाटो बिराएको मान्छे...,70043,5673,3715,0,Gulmi,Vіற 🅚🅐🅡🅚🅘,34404,,,False
1531581011212963841,https://twitter.com/RisheekeshY/status/1531581011212963841,Tue May 31 10:19:03 +0000 2022,2022-05-31 10:19:03+00:00,RisheekeshY,@ssrajputINC अवसरवादी,reply,,,,,0,ssrajputINC,1531545454927699971,2969163974,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1093442753629843460,Thu Feb 07 09:34:02 +0000 2019,False,सत्यमेव जयते,13770,48,109,1,,RISHEEKESH YADAV,1753,,,False
1531552555393855490,https://twitter.com/AWiseGentleman/status/1531552555393855490,Tue May 31 08:25:58 +0000 2022,2022-05-31 08:25:58+00:00,AWiseGentleman,@news24tvchannel @narendramodi @kumarrgaurrav अवसरवादी pm....,retweet,,,,,4,,,,ne,,,1,1531531024156372992,Reshmaansari786,998911680183549952,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",70224189,Sun Aug 30 21:52:47 +0000 2009,False,"Proud to be followed by @JohnCena, 
Give, take love n respect,
Nation always first,
BJP/RSS goons/🥚bhagats r blocked

#FreePalestine",294601,4012,3615,2,whole world ,🇮🇳Hassan A. Sheikh🇮🇳,217253,,,False
1531538841869225984,https://twitter.com/ManishD75182996/status/1531538841869225984,Tue May 31 07:31:29 +0000 2022,2022-05-31 07:31:29+00:00,ManishD75182996,@LambaAlka @ANI अवसरवादी,reply,,,,,0,LambaAlka,1531512790548066305,109930762,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1405429655939678208,Thu Jun 17 07:38:52 +0000 2021,False,Business man,1662,8,71,0,,Manish Dubey,418,,,False
1531531024156372992,https://twitter.com/Reshmaansari786/status/1531531024156372992,Tue May 31 07:00:25 +0000 2022,2022-05-31 07:00:25+00:00,Reshmaansari786,@news24tvchannel @narendramodi @kumarrgaurrav अवसरवादी pm....,reply,,,,,4,news24tvchannel,1531520345026400256,34206701,ne,,,1,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",998911680183549952,Tue May 22 13:01:18 +0000 2018,False,"प्रदेश सचिव कॉंग्रेस (it ) विभाग उत्तराखंड,   Chemistry teacher of Bsc and Msc (organic ), member of aryans Social group  (NGO )",0,1666,1009,0,Vikas nagar dehradun,Reshma ansari,5547,,https://www.facebook.com/profile.php?id=100021692632086,False
1531321365873426432,https://twitter.com/rajarani970/status/1531321365873426432,Mon May 30 17:07:18 +0000 2022,2022-05-30 17:07:18+00:00,rajarani970,"माया त यस्तो होस्❤️
बहिनी ढङ्ग नभएकी अल्छीनी छ भनेर
दिदी घरमै  अाएर  फुलवारी सजाइवरी
बहिनीलाईनै मनपर्ने खाजा बनाएर खुवाउनु 
हुन्छ मेरी प्यारी दिदि @majhgaretholi66
@devakatiwari633 ❤️धेरै धेरै माया दुबै दिदिहरु लाइ❤️ https://t.co/eUDFH1W4Dy",retweet,,,,,9,,,,ne,,,2,1530865685823627264,your_nani970,3143175031,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1255038548798894081,Tue Apr 28 07:38:50 +0000 2020,False,"शान्तिपूर्ण उपस्थिति हो मेरो 
न कस‌ैको अागमनको अाश न 
कसैको बिदाइको पिडा❤️",14542,276,264,1,प्रदेश ५ राजधानी ,सबैकी नानी म ❣️,4695,,,False
1531277680456384512,https://twitter.com/nirantar7777/status/1531277680456384512,Mon May 30 14:13:43 +0000 2022,2022-05-30 14:13:43+00:00,nirantar7777,"नेताहरुले #चुनाब अगाडी त सबैलाई 🙏नमस्कार गर्दै हिंडथे मैले पनि नमस्कार पाएको थिएं ।

त्यताको के छ होउ खबर ??

नमस्कार पाईन्छकी भनेको त नेताहरुको अनिकालै लागेछ यता तिर त 😂😂😂",retweet,,चुनाब,,,3,,,,ne,,,1,1531277411798568961,shankarkirant,252920069,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1518106322608312321,Sun Apr 24 05:55:51 +0000 2022,False,"सकेसम्म स्वतन्त्र रहि मेरा शब्द र सृजनाहरुले कसैको मन नदु:खावस भन्ने चाहान्छुँ, घरी घरी माटो (देश) लाई सम्झेर मान्छे हुनुमा चेतनाको स्तर गुमाउन पुग्छुँ ।",5839,1483,1496,0,Republic of Belarus,Karan Singh,5619,,https://twitter.com/search?q=from%3A@nirantar7777%20-filter%3Areplies&s=09,False
1531277411798568961,https://twitter.com/shankarkirant/status/1531277411798568961,Mon May 30 14:12:39 +0000 2022,2022-05-30 14:12:39+00:00,shankarkirant,"नेताहरुले #चुनाब अगाडी त सबैलाई 🙏नमस्कार गर्दै हिंडथे मैले पनि नमस्कार पाएको थिएं ।

त्यताको के छ होउ खबर ??

नमस्कार पाईन्छकी भनेको त नेताहरुको अनिकालै लागेछ यता तिर त 😂😂😂",original,,चुनाब,,,3,,,,ne,,,1,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",252920069,Wed Feb 16 05:24:41 +0000 2011,False,यहाँ धेरै जात”थर” अनि घरको मान्छे हुनुहुन्छ रे तर मेरो चाहिं जात नेपाली र घर नेपाल है !! 👉मान्छेहरूको “नियत्” नाप्ने यन्त्रको खोजीमा छु ।,30906,11799,6988,4,🇳🇵 फिरन्ते🚶‍♂️डुलुवा🇳🇵,𝓢𝓗𝓐𝓝𝓚𝓐𝓡 🙏 मुल्बासी🇳🇵,18389,,,False
1530965488662024193,https://twitter.com/chuparikashi00/status/1530965488662024193,Sun May 29 17:33:11 +0000 2022,2022-05-29 17:33:11+00:00,chuparikashi00,"देशमा उत्पादन बढाउने कुनै योजना छैन !जनतालाइ रोजगार दिने कुनै योजना छैन !
अनीकाले हरु !",retweet,,,,,2,,,,ne,,,1,1530958879562944517,gp_yatri1,1218315503850029056,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",843029526,Mon Sep 24 06:02:11 +0000 2012,False,"गोत्र धनन्जय, घर बेल्वास-३ चुपारी...पढाई छैन!",37939,787,293,0,Dang nepal,Chupari kashi,5757,,http://chupari.blogspot.com,False
1530963411952996353,https://twitter.com/Dipkiran54/status/1530963411952996353,Sun May 29 17:24:55 +0000 2022,2022-05-29 17:24:55+00:00,Dipkiran54,"@KTnepal तपाईंको अस्थिरता, अवसरवादी चरित्र र बिश्वको अती उत्कृष्ट संबिधान हामीले नेपालमा बनायौं भन्ने अभिव्यक्ति र सो बमोजिमको कार्य गराईले राप्रपाको अध्यक्षमा पत्याएन, युवा नेता राजेन्द्र लिंगदेनको देसब्यापी क्रेज बढ्यो र पार्टी अध्यक्ष बनेर राप्रपा पनि देसमा छ है भन्ने अनुभुत गराए!",reply,,,,,0,KTnepal,1527159600365322240,1200433244,ne,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1135036284659830784,Sun Jun 02 04:11:53 +0000 2019,False,Spreading wellness,307,18,17,0,Nepal,Dipkiran,122,,,False
1530958879562944517,https://twitter.com/gp_yatri1/status/1530958879562944517,Sun May 29 17:06:55 +0000 2022,2022-05-29 17:06:55+00:00,gp_yatri1,"देशमा उत्पादन बढाउने कुनै योजना छैन !जनतालाइ रोजगार दिने कुनै योजना छैन !
अनीकाले हरु !",original,,,,,2,,,,ne,,,1,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1218315503850029056,Fri Jan 17 23:34:02 +0000 2020,False,ट्वीटमा लेखेको कुरा मनमा नहुन सक्छ!मानसीक रोगीले फलो नगर्नु होला ! #NO_DM https://t.co/RTODzZlL5g ! B+,97219,7362,3031,1,Osaka japan ,जितेको मेयर साब 🙋‍♂️,68893,,,False
1530874900575006720,https://twitter.com/JayaSamvoo/status/1530874900575006720,Sun May 29 11:33:13 +0000 2022,2022-05-29 11:33:13+00:00,JayaSamvoo,"@sunitabrt प्रचण्ड चरम अवसरवादी हुन्।अवसर पाएसम्म उनी नरककै राजा हुनका लागि पनि ल्याप्चे लाउछन्  र भन्छन् म नै गणतन्त्रकाे एक मात्र हिमायती हाे।याे तथ्य त हालसम्मका उनका हरकतबाट स्पष्टै हुन्छ नि।उनकाे निशाना जहिले मुख्य शक्तिमा हुन्छ।उहिले गिरिजा थिए,अहिले केपी।अरू त उनका खेलाैनासरी हुन्।",reply,,,,,0,sunitabrt,1530592282017079296,2319949134,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",804184895564021760,Thu Dec 01 04:46:34 +0000 2016,False,गणेशप्रति आस्था राख्छु अपितु गणेश प्रवृत्तिबाट नाै काेश टाढै बस्न रूचाउछु । कष्टै किन नहाेस् भाेग्नुमा छुट्टै आनन्द लाग्छ र त कुमारकाे तस्वीर राखेकाे छु।,1908,91,467,0,,Jaya Shamvoo,871,,,False
1530871305549012994,https://twitter.com/GovindSaaleek/status/1530871305549012994,Sun May 29 11:18:56 +0000 2022,2022-05-29 11:18:56+00:00,GovindSaaleek,"माया त यस्तो होस्❤️
बहिनी ढङ्ग नभएकी अल्छीनी छ भनेर
दिदी घरमै  अाएर  फुलवारी सजाइवरी
बहिनीलाईनै मनपर्ने खाजा बनाएर खुवाउनु 
हुन्छ मेरी प्यारी दिदि @majhgaretholi66
@devakatiwari633 ❤️धेरै धेरै माया दुबै दिदिहरु लाइ❤️ https://t.co/eUDFH1W4Dy",retweet,,,,,9,,,,ne,,,2,1530865685823627264,your_nani970,3143175031,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",3237101262,Fri Jun 05 17:12:51 +0000 2015,False,🇳🇵🇳🇵साँझ बिहानको पेट पाल्ने जोहो गर्न हातमा ठेला उठाउने सामान्य मजदुर बायो लेख्ने औकात छैन 🇳🇵🇳🇵,332343,2212,1111,1,,🇳🇵SaaLeeK🇳🇵,205319,,https://twitter.com/search?q=from%3AGovindSaaleek%20-filter%3Areplies&s=09,False
1530865685823627264,https://twitter.com/your_nani970/status/1530865685823627264,Sun May 29 10:56:36 +0000 2022,2022-05-29 10:56:36+00:00,your_nani970,"माया त यस्तो होस्❤️
बहिनी ढङ्ग नभएकी अल्छीनी छ भनेर
दिदी घरमै  अाएर  फुलवारी सजाइवरी
बहिनीलाईनै मनपर्ने खाजा बनाएर खुवाउनु 
हुन्छ मेरी प्यारी दिदि @majhgaretholi66
@devakatiwari633 ❤️धेरै धेरै माया दुबै दिदिहरु लाइ❤️ https://t.co/eUDFH1W4Dy",original,,,https://pbs.twimg.com/media/FT66OjEaQAAWKcp.jpg,,9,,,,ne,,False,2,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3143175031,Tue Apr 07 09:32:10 +0000 2015,False,"🌺समाज सेवामा रमाइलो🌺
🙏रहर छ अाफ्नो परिचय अाफैले कमाउने👍️
😘मृत्यु पश्चात् नि स्मरणीय बन्न सकु त्यहीँ कर्ममा छु❣️",108897,7507,766,3,बा हरु नुन लिन जाने शहर ,राष्ट्रिय_नानी❣️,52891,,,False
1530553238269087744,https://twitter.com/Sidhakuramasan1/status/1530553238269087744,Sat May 28 14:15:02 +0000 2022,2022-05-28 14:15:02+00:00,Sidhakuramasan1,@realpbhattarai @TheSunitaDangol अवसरवादी तथा भ्रष्ट युवा को नाममा कलंक लाई अबको दिनमा राम्रो काम गर्न भगवान् पसुपतिनाथ ले सद्बुद्धी दिउन शुभकामना,reply,,,,,0,realpbhattarai,1529870748722286592,929254514149822466,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1063324968128266240,Fri Nov 16 06:56:42 +0000 2018,False,Knowing more than reading,3554,32,24,0,Nepal,Alindra Rai Thulung,914,,http://www.alindrarai32.com,False
1530532368884195328,https://twitter.com/prpdaju/status/1530532368884195328,Sat May 28 12:52:07 +0000 2022,2022-05-28 12:52:07+00:00,prpdaju,"@SundariPokharel खड्ग परसाद ओली जिन्दावाद!! आचिमा पनि सुगन्ध आउछ ।  😂😂😂😂
यस्ता पूर्वाग्रहि अवसरवादी र दलका झोलेहरूले समाजलाई गलत तर्क र बुद्धी दिएर फसाउदाको नतिजा हो यो, अझै बिजोग हुनै छ ।😂",reply,,,,,2,SundariPokharel,1530140422697533440,1006416594233380866,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",313660738,Thu Jun 09 00:54:44 +0000 2011,False,"छ्या !! तोरी जिन्दगी !!
यस्तो जिन्दगी खै के जिन्दगी!!!
जहाँ न जिवनको मूल्य छ न मूल्यको जिवन !
अर्थशास्त्रको विद्यार्थी र अर्थ राजनीतिमा रुचि भएको बकवास मान्छे ।",1843,581,1354,1,everywhere,पी.आर.पी,5693,,http://www.google.com/,False
1530521561731579907,https://twitter.com/PushpendraLoon1/status/1530521561731579907,Sat May 28 12:09:10 +0000 2022,2022-05-28 12:09:10+00:00,PushpendraLoon1,@Rajasthan_PYC @srinivasiyc @LambaAlka अवसरवादी,reply,,,,,0,Rajasthan_PYC,1530521276854325248,3172078136,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",829658561068150784,Thu Feb 09 11:49:50 +0000 2017,False,Ph.D in Education,28316,3171,2733,1,"Rajasthan, India",Dr. Pushpendra Looniya,30196,,https://www.facebook.com/pushpendra.looniya,False
1530463157558206465,https://twitter.com/Rkali74495046/status/1530463157558206465,Sat May 28 08:17:06 +0000 2022,2022-05-28 08:17:06+00:00,Rkali74495046,@samachardaineek तेरो गति…कठै केपी भन्दा भन्दै कस्को चरण मा  पुगे भन्नि कुरा विर्से जस्तो छ ! लास्टै अवसरवादी,reply,,,,,0,samachardaineek,1530460168081002497,912188794383753217,ne,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1501424930029981698,Wed Mar 09 05:10:52 +0000 2022,False,Freedom,14,1,52,0,,Rkali,106,,,False
1530414928103735297,https://twitter.com/mukeshtiwariji/status/1530414928103735297,Sat May 28 05:05:27 +0000 2022,2022-05-28 05:05:27+00:00,mukeshtiwariji,@AmanChopra_ सावरकर माने अवसरवादी,reply,,,,,1,AmanChopra_,1530386777470476288,1273748948,ne,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",280059352,Sun Apr 10 15:05:43 +0000 2011,False,"कहीं भली है कटुक निबोरी,कनक-कटोरी की मैदा से... (वितर्क पैना ही होगा झेलो ) RT /पुनर्चक्रण पुष्टी न मानी जाये -सादर",43419,6550,3014,26,Delhi-New Delhi ,Mukesh,123880,,,False
