id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
1565252967585832960,https://twitter.com/anarchist11193/status/1565252967585832960,Thu Sep 01 08:19:23 +0000 2022,2022-09-01 08:19:23+00:00,anarchist11193,"@SPONepal @brb1954 कतैबाट अलिकति तारिफ पायो भने कति फुरकिदो रहेछ हिजडा,तेरो कारण बरबाद भएका यि लाखौ  जिन्दगीको पनि हिसाब हुनुपर्छ। https://t.co/4LoAmLmztG",reply,,,https://pbs.twimg.com/media/FbjlQ1GUYAAob6P.jpg https://pbs.twimg.com/media/FbjlRcFUsAAIt60.jpg https://pbs.twimg.com/media/FbjlRp_UIAAPJPc.jpg https://pbs.twimg.com/media/FbjlR2NUYAEbb6j.jpg,,0,SPONepal,1565185865974165505,1141393895684595713,ne,,False,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1533838205899767808,Mon Jun 06 15:48:53 +0000 2022,False,"मानब अन्यथा अराजकताबादी
Individual life way over this fucking state.",14,3,27,0,Concentration Camp,#NepaLiSlaveofModernWorld,218,,,False
1565245687091957760,https://twitter.com/nrjkhadgi/status/1565245687091957760,Thu Sep 01 07:50:27 +0000 2022,2022-09-01 07:50:27+00:00,nrjkhadgi,"@bimalwin तिम्रो सन्स्कृतिमा केटा नि हिजडा नाच नाच्न जान्छौ , हामी केटिहरुलाई नि बराबरी सहभागी गराउछौ, बिधवा हुदैन हाम्रो मा https://t.co/HpfbIrTIVF",reply,,,https://pbs.twimg.com/media/FbjeqCwVsAAKHEc.jpg,,0,bimalwin,1565212556490260480,791976423363710977,ne,,False,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1356452112,Tue Apr 16 09:35:55 +0000 2013,False,,35,3,44,0,,Niroj Khadgi,82,,,False
1564664018052304900,https://twitter.com/Premthapa30/status/1564664018052304900,Tue Aug 30 17:19:06 +0000 2022,2022-08-30 17:19:06+00:00,Premthapa30,@parijat_full साउदी को बालुवाघारी मा बसेर भेडा चराउनेरैछस् औतारी। बङ्गाली र पाकिस्तानलाई खुशी पार्दै होलास् तेरी मा छक्का त जस्तो बङ्गाली वा पाकिस्तानी को अवैध नमूना।तेरीमा हिजडा सक्छस् भने तेरो पाकिस्तान को बिऊ परेको थोपडा र ठेगना हाल कुकुर। फेरी बाकस मा आफै फर्केलास 👹,reply,,,,,0,parijat_full,1564368907279949826,1147460135498989568,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1391119223192133635,Sat May 08 19:54:19 +0000 2021,False,alone heart  💙,12430,243,496,0,ललितपुर  नेपाल ,prem thapa,1255,,,False
1564660605352497153,https://twitter.com/raj60629450/status/1564660605352497153,Tue Aug 30 17:05:32 +0000 2022,2022-08-30 17:05:32+00:00,raj60629450,@hark_sampang दम भयको मान्छे ले हो अ्मेरिका बनाउने हिजडा हरु ले नेपाल लाइ अ्मेरिका कहिलै बनाउन सक्दैनन तेस्मा हजुर नि पर्नु हुन्छ कि जस्तो छ,reply,,,,,0,hark_sampang,1564420233024409601,3056033937,ne,,,0,,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1537313384399396874,Thu Jun 16 05:58:09 +0000 2022,True,,4,11,206,0,,raj,104,,,False
1564515804833812480,https://twitter.com/rumba_hira/status/1564515804833812480,Tue Aug 30 07:30:09 +0000 2022,2022-08-30 07:30:09+00:00,rumba_hira,@AnjilaSharma02 हिजडा जस्तो 🤗,reply,,,,,1,AnjilaSharma02,1564453397612625925,1247065086952423425,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1529008757359128576,Tue May 24 07:58:21 +0000 2022,False,,871,98,220,0,,Hira Rumba,412,,,False
1564446967278608384,https://twitter.com/NetaaJii/status/1564446967278608384,Tue Aug 30 02:56:37 +0000 2022,2022-08-30 02:56:37+00:00,NetaaJii,"@Syangjali_kale फेरि आयो प्रकाशको सिग्नेचर हिजडा स्टाइल ""छ्या हौ..""",reply,,,,,1,Syangjali_kale,1564445778621665285,828200879337529344,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1486038435102334977,Tue Jan 25 18:09:29 +0000 2022,False,Was a student of #Biology. Practiced #Journalism. Involved in #SocialServices. Interested in #PoliticalAgendas. Follow=💯% Followback.,3817,4262,4904,0,"Kathmandu, Nepal",Netaa Jii,11242,,https://twitter.com/NetaaJii,False
1564342392995528704,https://twitter.com/Santosh24992461/status/1564342392995528704,Mon Aug 29 20:01:05 +0000 2022,2022-08-29 20:01:05+00:00,Santosh24992461,@bhaujutweets मुला हिजडा आफ्नाे real id मा आईज न साला फेक  id,reply,,,,,0,bhaujutweets,1564263090623234049,1555164621543133184,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1549410602401005568,Tue Jul 19 15:08:44 +0000 2022,False,कसैको दिलमा डाका डाल्नु मेराे खुबी,73,25,212,0,,lover boy,111,,,False
1564246044669386753,https://twitter.com/Pratap_NP/status/1564246044669386753,Mon Aug 29 13:38:13 +0000 2022,2022-08-29 13:38:13+00:00,Pratap_NP,नामर्दका स्वास्नी हरूले देखाउने चर्तीकला यस्तै हाे नपुङ्शक लाेग्ने का स्वास्निहरू ले गर्ने नै यहि हाे यस्मा गल्ती यी आइमाईका छैेनन गल्ति  ती हिजडा लाेग्ने भनाउदा हरू काे हाे https://t.co/mXz76O5MHn,original,,,https://pbs.twimg.com/media/FbVRfLjUsAEAaj4.jpg,,8,,,,ne,,False,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",927935682,Mon Nov 05 16:35:48 +0000 2012,False,"मरेको मान्छे राम्रो थियो भनेर तेस्को लास खोदल्न भन्दा 
आफू कसरी तेस्तै असल र इमान्दार र सहासी हुने बारे सोचौ महोदय हरु ! 🙏🙏 सत्यसँग नलड्ने, शक्तिसँग नझुक्ने",182779,9920,9955,4,जनकपुरधाम नेपाल ,प्रताप नारायण (कान्छा) 🇳🇵,95506,,,False
1564079736317513731,https://twitter.com/JamkatelMohan/status/1564079736317513731,Mon Aug 29 02:37:22 +0000 2022,2022-08-29 02:37:22+00:00,JamkatelMohan,@ghimirebhawana9 पटक पटक तँलाई बलतकार गर्यो कि गर्यन हिजडा 😡😡😡🤬🤬🔪🔪⚔️⚔️⚔️,reply,,,,,1,ghimirebhawana9,1563852304356618241,1133942145692254208,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",4837697013,Sat Jan 23 07:47:31 +0000 2016,False,,52197,3096,4894,0,Sharjha,Mohan Jamkatel,2510,,,False
1563909544757297152,https://twitter.com/KhemAryal3/status/1563909544757297152,Sun Aug 28 15:21:06 +0000 2022,2022-08-28 15:21:06+00:00,KhemAryal3,@ekantipur_com @ourjaya हिजडा गुटले आँफूलाई कताबाट फाइदा पुग्छ भनेर हिसाब गरि गरि कुतर्कको सहारा लिएर समय वर्वाद गर्छ ।,reply,,,,,0,ekantipur_com,1563908244783116289,364761398,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1195291587586084864,Fri Nov 15 10:45:22 +0000 2019,False,,2748,99,449,0,,Khem Aryal,2850,,,False
