id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
1590217242800971778,https://twitter.com/Vezza_Fry/status/1590217242800971778,Wed Nov 09 05:38:30 +0000 2022,2022-11-09 05:38:30+00:00,Vezza_Fry,"१३ दिन भए काज क्रिया नै सकिन्थ्यो जे होस् ११  नै भए नि ठिक दाजुभाई त उक्सिन्छन्
#No_Not_Again",quote,,No_Not_Again,,,0,,,,ne,,,0,1590167358613909507,Jhakri_didi,606298843,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",910946973041201160,Thu Sep 21 19:20:57 +0000 2017,False,🗒✍,21843,2162,319,1,आकाशमुनिको खुल्ला झुपडी,No Not Again,22175,,,False
1590217355959099393,https://twitter.com/RamThap65250822/status/1590217355959099393,Wed Nov 09 05:38:57 +0000 2022,2022-11-09 05:38:57+00:00,RamThap65250822,"@Kalpana9133 थुक्क नारी ।
यस्ताको पोई कस्तो होला, छोरा-छोरीले यस्ता झोले आमाबाट कस्तो सस्कार सिक्लान ? ? ?",reply,,,,,0,Kalpana9133,1590109328769683456,1325366412072808448,ne,,,0,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1500331087582613506,Sun Mar 06 04:43:15 +0000 2022,False,जनावरलाई मार्न जनावर नै बन्नु पर्छl,587,102,385,0,,थापा काजी,327,,,False
1590217500616454144,https://twitter.com/bhangero1/status/1590217500616454144,Wed Nov 09 05:39:31 +0000 2022,2022-11-09 05:39:31+00:00,bhangero1,न एजेन्डा न बिचार। राजा बोकेर चुनाब लड्नु छ। यस्ता काइते कुरा गरेर भोट माग्दैछ यो राउटे।,quote,,,,,0,,,,ne,,,0,1589544061563965440,anantabrt,141220687,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1571830086420267009,Mon Sep 19 11:54:47 +0000 2022,False,student,16,26,108,0,"Kathmandu,  nepal",भंगेरो,193,,,False
1590217868947312641,https://twitter.com/RamThap65250822/status/1590217868947312641,Wed Nov 09 05:40:59 +0000 2022,2022-11-09 05:40:59+00:00,RamThap65250822,"तेरो भौजु त अझै हेली कप्टरको कुरा गर्छे त, त्यसमा तेरो भनाई के छ झोले मैला",quote,,,,,0,,,,ne,,,0,1590109328769683456,Kalpana9133,1325366412072808448,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1500331087582613506,Sun Mar 06 04:43:15 +0000 2022,False,जनावरलाई मार्न जनावर नै बन्नु पर्छl,587,102,385,0,,थापा काजी,328,,,False
1590218065694068736,https://twitter.com/RamThap65250822/status/1590218065694068736,Wed Nov 09 05:41:46 +0000 2022,2022-11-09 05:41:46+00:00,RamThap65250822,"@3sssgautam तेरो भौजु त अझै हेली कप्टरको कुरा गर्छे त, त्यसमा तेरो भनाई के छ झोले",reply,,,,,0,3sssgautam,1589940530120519681,1126843182707281921,ne,,,0,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1500331087582613506,Sun Mar 06 04:43:15 +0000 2022,False,जनावरलाई मार्न जनावर नै बन्नु पर्छl,587,102,385,0,,थापा काजी,329,,,False
1590218330300092417,https://twitter.com/rkbhujel42/status/1590218330300092417,Wed Nov 09 05:42:49 +0000 2022,2022-11-09 05:42:49+00:00,rkbhujel42,सारा दुनियाले भगवान मानेर पुज्ने चन्द्रमा त ग्रहण लाग्छ भने मान्छे त पापी प्राणि । मेरो जिबनमा पनि बारबार ग्रहण लाग्नु स्वभाबिक हो तर पनि मैले हिम्मत हारेको छैन ग्रहणको सामाना गर्दै अघि बढिरहेको छु ।,retweet,,,,,78,,,,ne,,,0,1590078208615280640,IamNepal_Tbn,3318173425,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3940414460,Sun Oct 18 22:23:56 +0000 2015,False,"सफल व्यक्ति बन्नु भन्दा पनि मुल्यवान व्यक्ति बन्ने काेसिस गराैं, उमेर कुनै बाधक बन्दैन।",75396,2215,2203,0,Nepal 🇳🇵,Ramesh K. Bhujel,11695,,,False
1590218388911304704,https://twitter.com/ajeetarai/status/1590218388911304704,Wed Nov 09 05:43:03 +0000 2022,2022-11-09 05:43:03+00:00,ajeetarai,"म आवद्ध दल नेपाल विवेकशील पार्टी @BibeksheelParty
हो। चुनाव चिन्ह कुकुर हो, जित्ने दावी गरेको छैन। तै पनि चुनावको मूखमा कार्यालयमै बोलाएर आफ्नो भनाई राख्ने मैका दिनु भयो । अर्थ न्यूज🙏।
तलको youtube लिंकमा मेरो विचार :
#कुकुर #मंसिर_४ #भक्तपुर_२ #कुकुर
https://t.co/lnxRB6ihMK",retweet,,,,,5,,,,ne,,,0,1589961259021406208,MeShashikarki,849844312879714304,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",304327849,Tue May 24 10:05:10 +0000 2011,False,Believes in alternative politics.,4628,718,115,2,,Ajeeta Rai,2336,,,False
1590218783536611328,https://twitter.com/Beepuluv/status/1590218783536611328,Wed Nov 09 05:44:37 +0000 2022,2022-11-09 05:44:37+00:00,Beepuluv,@abhishiwakoti सरको टिडिक संग मिल्दो रहेछ।,quote,,,,,0,abhishiwakoti,,278919227,ne,,,0,1590197118740099073,HasnaZarooriHai,2989827674,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",224175250,Wed Dec 08 10:05:55 +0000 2010,False,"tweet in English and Nepali for fun to learn #RTrainer, #MachineLearning, #Agriculture",68854,1654,4533,80,Australia,सेन्मिखा💎,50352,,,False
1590219028462964736,https://twitter.com/BIDHUR_166/status/1590219028462964736,Wed Nov 09 05:45:35 +0000 2022,2022-11-09 05:45:35+00:00,BIDHUR_166,"#पैसा एउटा यस्तो चिज हो।
छ भने पराई पनि आफ्नो,
छैन भने आफ्ना पनि पराई।
स्वार्थी संसार 
#शुभप्रभात 
~bg T- 4096🇳🇵",retweet,,पैसा शुभप्रभात,,,83,,,,ne,,,0,1590154400156487681,RaazBg,1111022777736355843,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1465599527889653761,Tue Nov 30 08:32:24 +0000 2021,False,"\आफ्नै थिए डोराउनि
   तब खुड्किलो मा साहारा भो\
/तिमी साँथ छौ नि!
        खुसी दुगुना हुने गर्दछ आमा/
                🕴️
please follow 💯% back 🔁💯 speed",29338,2349,2365,0,RUPANDEHI,{bidhur.thapa} 🫵please follow,5465,,,False
1590219054153084930,https://twitter.com/dipesh_adhikari/status/1590219054153084930,Wed Nov 09 05:45:42 +0000 2022,2022-11-09 05:45:42+00:00,dipesh_adhikari,"आफूलाई किन किन एक्लो ठान्दै छ
स्वार्थी रहेछ प्रेम भन्ने कुरा जान्दैछ..,,,

आजकल धोका खाँदैछ त्यो मान्छे
त्यसैले रक्सी पिउँदै छ, चुरोट तान्दै छ ।।",retweet,,,,,36,,,,ne,,,0,1589978693891686400,sansa160,1411626605034622980,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",420070472,Thu Nov 24 04:39:26 +0000 2011,False,"I never loved you any more than I do, right this second. And I’ll never love you any less than I do, right this second.",14529,2380,4948,0,dhulikhel,दिपेश अधिकारी,3982,,,False
