id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
1531941858619731968,https://twitter.com/mukundefan/status/1531941858619731968,Wed Jun 01 10:12:55 +0000 2022,2022-06-01 10:12:55+00:00,mukundefan,@damanbro66 थुक्क हिजडा।,reply,,,,,0,damanbro66,1531611319245213697,3627235334,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1488899842734583819,Wed Feb 02 15:39:34 +0000 2022,False,दार्शनिक मुकुन्देको मुकुन्दल्याण्डको सपना पूरा गराउन हिडेको एक नेपाली तन्नेरी।,497,67,294,1,Nepal,मुकुन्दल्याण्ड समर्थक,165,,,False
1531580205286170624,https://twitter.com/BhagwaKaafir/status/1531580205286170624,Tue May 31 10:15:50 +0000 2022,2022-05-31 10:15:50+00:00,BhagwaKaafir,@HinduEcosystem_ हफसी बलात्कारी ठरकी पिगंबर हिजड़ा रसूल,reply,,,,,20,HinduEcosystem_,1531537222502977536,1331262532774817794,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1394536427304542208,Tue May 18 06:13:08 +0000 2021,False,भगवा-ए-हिन्द,1740,651,757,0,उपलब्धि - 3 सस्पेंडेड एकाउंट्स,भगवा काफ़िर | Bhagwa Kaafir,7049,,,False
1531547295224717314,https://twitter.com/ShandilyaTweet/status/1531547295224717314,Tue May 31 08:05:04 +0000 2022,2022-05-31 08:05:04+00:00,ShandilyaTweet,@realarjun1 यो हिजडा आफू मात्रै जन्ने हुँ भन्छ्😆😆,reply,,,,,4,realarjun1,1531539755191586816,953870567429439488,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2213766913,Mon Nov 25 08:21:06 +0000 2013,False,"अज्ञ: सुखमाराध्य: सुखतरमाराध्यते विशेषज्ञ:।
ज्ञानलवदुर्विदग्धम् ब्रह्मापि तं नरं न रंजयति ।।
*ट्विटहरु नितान्त व्यक्तिगत विचार हुन,पेशासँग कुनै लेनदेन छैन ।",127697,42936,10352,13,मधेस प्रदेश,Dr. Kautilya,135005,,,False
1531530860734062593,https://twitter.com/thepremthapa/status/1531530860734062593,Tue May 31 06:59:46 +0000 2022,2022-05-31 06:59:46+00:00,thepremthapa,"करको दायरा वढाउने होइन हिजडा मनिस्थितिको सरकार जो आउछ मदिरा सुर्ती अनि गाडी माथि कर को चाङ्ग थुपारेर वजेट ल्याउछ 
@brb1954 
@JSPrabhakar 
@BarshamanPun1 
@ramsmahat 
@surendraCPN",original,,,,,0,,,,ne,,,0,,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",961868017779879938,Fri Feb 09 07:43:00 +0000 2018,False,Social Activist and Freelancing writer,582,6,148,0,Nepal,Prem Thapa,908,,https://twitter.com/thepremthapa,False
1530678855836794880,https://twitter.com/kc_motitare/status/1530678855836794880,Sat May 28 22:34:12 +0000 2022,2022-05-28 22:34:12+00:00,kc_motitare,"नपुङ्सक,  हिजडा हरूले भरिएको सरकार। कुहिएर गन्हाउने बुद्धि बोकेकाहरूले बनेको सरकार। 
लाज शर्म भन्ने अलिकति मात्र बचेको भए डाडुमा पानी तताओ।  बलियो  डोरी चाहिए  म दिने छु। 
थुक्क चोर हो...अनुहार सम्झदा पनि घृणा लाग्छ https://t.co/gAdGOKrUe7",retweet,,,,,25,,,,ne,,,9,1530488829429153797,Bhismak1962,2725762518,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2988987070,Wed Jan 21 05:15:22 +0000 2015,False,Not any political party's property,27243,399,366,0,Lalitpur ,Binod KC,20023,,,False
1530600900405784576,https://twitter.com/P12d3/status/1530600900405784576,Sat May 28 17:24:26 +0000 2022,2022-05-28 17:24:26+00:00,P12d3,@saffronPolitics संजना हिजडा.. https://t.co/Ha6GL753h1,reply,,,https://pbs.twimg.com/media/FT3JaBbXwAEWyOJ.jpg,,8,saffronPolitics,1530599330784038913,1404000248553345028,ne,,False,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1512455845241667593,Fri Apr 08 15:42:39 +0000 2022,False,100%hindu,3349,695,1623,0,,बुलडोझरवाले P12d,1225,,,False
1530554000654729216,https://twitter.com/Bijendra1/status/1530554000654729216,Sat May 28 14:18:04 +0000 2022,2022-05-28 14:18:04+00:00,Bijendra1,"नपुङ्सक,  हिजडा हरूले भरिएको सरकार। कुहिएर गन्हाउने बुद्धि बोकेकाहरूले बनेको सरकार। 
लाज शर्म भन्ने अलिकति मात्र बचेको भए डाडुमा पानी तताओ।  बलियो  डोरी चाहिए  म दिने छु। 
थुक्क चोर हो...अनुहार सम्झदा पनि घृणा लाग्छ https://t.co/gAdGOKrUe7",retweet,,,,,25,,,,ne,,,9,1530488829429153797,Bhismak1962,2725762518,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",85044751,Sun Oct 25 09:16:16 +0000 2009,False,"Officer, Nepal Army (Retd.)",51122,801,1945,5,"32 Putali , Kathmandu, Nepal",Bijendra GAUTAM,6031,,,False
1530550755278868481,https://twitter.com/Mohanchand930/status/1530550755278868481,Sat May 28 14:05:10 +0000 2022,2022-05-28 14:05:10+00:00,Mohanchand930,@shantadangnepal गगने मान्छे हो र ? भिख माग्ने हिजडा हो।,reply,,,,,0,shantadangnepal,1530425966274957312,804581217068716032,ne,,,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1458113727576768519,Tue Nov 09 16:47:59 +0000 2021,False,,192,4,24,0,,Mohan Chand,95,,,False
1530550365380562945,https://twitter.com/turmericrest1/status/1530550365380562945,Sat May 28 14:03:38 +0000 2022,2022-05-28 14:03:38+00:00,turmericrest1,"नपुङ्सक,  हिजडा हरूले भरिएको सरकार। कुहिएर गन्हाउने बुद्धि बोकेकाहरूले बनेको सरकार। 
लाज शर्म भन्ने अलिकति मात्र बचेको भए डाडुमा पानी तताओ।  बलियो  डोरी चाहिए  म दिने छु। 
थुक्क चोर हो...अनुहार सम्झदा पनि घृणा लाग्छ https://t.co/gAdGOKrUe7",retweet,,,,,25,,,,ne,,,9,1530488829429153797,Bhismak1962,2725762518,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1414315560,Thu May 09 02:14:23 +0000 2013,False,"कुनैकुरा पनि सुसासन, दण्डहिनता तथा जनताको नैसर्गिक अधिकार बिपरित छ भने कदापि सहनहुदैन । आवाज उठाउनै पर्छ ।मौनता ले समर्थन जनाउछ त्यसैले आवाज़ उठाऔ।",160838,1509,1948,19,,Turmeric,25189,,,False
1530540753902276608,https://twitter.com/MaharudraPrasa1/status/1530540753902276608,Sat May 28 13:25:26 +0000 2022,2022-05-28 13:25:26+00:00,MaharudraPrasa1,"नपुङ्सक,  हिजडा हरूले भरिएको सरकार। कुहिएर गन्हाउने बुद्धि बोकेकाहरूले बनेको सरकार। 
लाज शर्म भन्ने अलिकति मात्र बचेको भए डाडुमा पानी तताओ।  बलियो  डोरी चाहिए  म दिने छु। 
थुक्क चोर हो...अनुहार सम्झदा पनि घृणा लाग्छ https://t.co/gAdGOKrUe7",retweet,,,,,25,,,,ne,,,9,1530488829429153797,Bhismak1962,2725762518,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1026881757080113153,Tue Aug 07 17:24:24 +0000 2018,False,जीवन-सङ्घर्षमा रमाउन सक्नु नै मानिसकाे ठूलाे उपलब्धि हाे ।,14289,1312,1619,1,"Inaruwa , Sunsari , Nepal",Maharudra Prasad Pokharel,6339,,http://mppokharelhome.wordpress.com,False
