id,source,annotator,text,abuse,sexual_content_score
4266,simulation_non_ipv,common,Chautariko madal bajauna diya paxi jasle pani bajai halchh ni bhirera po hinnu bhayana tw . .,1,4
4134,simulation_non_ipv,common,सावित्री सुबिदिलाइ सिदै गोलीहान सरकार ।,1,1
5383,twitter,common,"फ्रि फायर गेमबाट चिनजान , त्यसपछि बलात्कार |",0,
5989,twitter,common,उहो कुकुर वाला |,0,
3466,simulation_non_ipv,common,अति गरे नि शासकले ।,0,
5326,twitter,common,सँगै हिड्ने सँगै सुत्ने अनि बलात्कार भयो भन्न मिल्छ ? बलात्कार भनेको के हो ? बल जबर्जस्ती कसैको चाहना बिपरित गरिने यौन कार्य त होला ? कि अलग हो मन मिल्दा चमत्कार break लाग्दा बलात्कार ?,1,5
5938,twitter,common,यो बापती खाते भाउजुको पोईसाले बिदेसी कुकुर राडिको छोरो ले धर्म छोडेर राजा मार्ने खाते किरा परेर मरोस राडिको छोरा !,1,1
4714,simulation_non_ipv,common,यो पन्ने मुजिलाइ ब्रेनवास गर्नकोलागि राडिकाछोरा ले खटाए को छ ।,1,1
3509,simulation_non_ipv,common,गद्दार सर्कार को आँखा लागि सक्यो ।,1,1
4229,simulation_non_ipv,common,छोरो मान्छेको जति ठूलो मन कसैको हुन्न बिचारा |,0,
6167,twitter,common,कति भुक्नुहुन्छ कुकुर ? तपाईको पार्टी सभापती लाटो हुनुहुन्छ भन्ने थाहा छैन। ।,1,1
3496,simulation_non_ipv,common,बिहे नगरेका कति रहेछन् भन्ने कुराको जानकारी पनि दिनुपर्ने हो। ।,0,
4876,twitter,common,प्रेम आलेले मलाई मार्दिन्छु भनिसक्यो भन्दै बुरुक्क बुरुक्क उफ्रिए DR . SURENDRA KC |,0,
6082,twitter,common,"आठ जना दमाई केटाले एउटि केटि बलात्कार गरेछन सुनसान छन अधिकारकर्मीहरु मानब अधिकारकर्मिहरु यदि त्यहि ठाउँमा बलात्कृत महिला दमिनि हुन्थिन भने बाबुराम , नारायण वाग्ले , अधिकारकर्मी सबै नारा लगाई सक्थे भन्नुको मतलब यहाँ अपराधमा पनि जातीयता क्षेत्रीयताको गन्ध आउछ दोषि उपर कडा कार्बाहि होस।",0,
3471,simulation_non_ipv,common,गर्वपतन र हत्यामा केही भिन्नता देख्दिन म |,0,
4220,simulation_non_ipv,common,"ए , बिचराहरु खुशी छ भने छोडनुनि हौ के सारो अरुको खुशीलाई जबर्जस्ती के खोस्न खोजेको |",0,
6124,twitter,common,- छोरी जन्माए बलाकृत हुन्छिन भनेर नडराउँ बरु बलात्कार गर्ने छोरा भए गर्भमै मारेर फाल |,1,5
4413,simulation_non_ipv,common,त्यो खाते सङ नमिले हुन्छ मार्छ झन नमिल्नु |,1,1
5591,twitter,common,"रामप्रसाद उप्रेतीजीलाई एकीकृत शक्ति नेपालले ठूलो सम्मान दिएको थियो। पार्टीको नाममा भद्रकाली मन्दिरमा रगत चढाएर शपथ लिएका उप्रेतीजीले छाडा र सस्ता टिकटक नबनाउन , जथाभावी नबोल्न र मदिरा सेवनलाई चौबिस घण्टाबाट एक घण्टामा झार्न सुझाव र निर्देशन दिएकै भरमा पार्टी छोडेर छ। ।",0,
5865,twitter,common,यौटी नकचरी लाई हटायर जारी बुज्नेलाई जोडेछन ? के रहेछ कुरो ?,1,1
4482,simulation_non_ipv,common,तिम्रो आक्रोश तिमी सङै राख तिमिलाई काम लाग्छ। ।,0,
5000,twitter,common,त्यसैले घर मिलाएर राख्ने वा भाँड्ने सम्बन्धमा पहिलो हात छोरीबुहारीकै हुन्छ। ।,1,1
5171,twitter,common,बाढी त त्यसै बदनाम छदै थियो मेलम्ची त अलच्छिनी हरुले उद्धघाटनको हतार ले कामै न सक्की ड्याम थुनेर डुबाए !,0,
2835,simulation_non_ipv,common,नेपालीलाई ईंग्लिश मा बोलेको हो |,0,
5453,twitter,common,देख्यौं नारी चरित्र ! कति निर्लज्ज र स्वार्थी हुँदा रहेछन् । उता सेटिङ मिल्यो एउटा कुरा अनि मिलेन अर्कै कुरा । दुइटै हातमा लड्डु !,0,
6054,twitter,common,छाडा नबोल |,1,1
4766,simulation_non_ipv,common,म धेरै खुसि छु कि तपाइँ मेरो जिवनमा हुनु हुन्छ। ।,0,
5693,twitter,common,सुन भाई बुइनि हो चिन्जान नभए पनि pos मा Reac त गर्देउ कम्सेकम तिमी हरु जिउँदै छौ भन्ने त थाहा हुन्छ |,0,
4964,twitter,common,त झल्ला किन बढि जान्ने हुन्छेस दुनिया ट्रकका खलेको चुसेर पुगेन र अरुको कुरा काटेर हिड्छेस। पहिला आफु कुनै गरिब लाई सानो सहयोग गरेर देखा बिना स्वार्थ अनि भुक नत्र चुप लागेर बस |,1,8
3456,simulation_non_ipv,common,"यो हो पहिला चाहिने , टावर होइन |",0,
2987,simulation_non_ipv,common,यस्ता पुसिल्लाइ भाला नै हानु पर्छ साला कुकुर हरु तेसरी पिते को छ अझ भन्छ पुलिस को गल्ती भा को छैन भनेर ।,1,1
3420,simulation_non_ipv,common,आफु ले गरे चमत्कार अरु ले गरे बलात्कार ?,0,
4327,simulation_non_ipv,common,वडा कार्यलय मा लस्टै झ्याउ गर्दिन्छ म खुद छोरिको लागि जादा जन्म दर्ता बनाउन एति गारो परेको थियो |,0,
2757,simulation_non_ipv,common,यो लोग्ने मानिस बोको रैछ कान्छी श्रीमती चै माहान महिला रैछ |,1,1
5854,twitter,common,केटी अब जिन्दगीका सबै उकाली ओरालि तिमी सङ्गै हिँड्ने मन छ केटा अनि सिधा बाटाे तेरो भुपु सङ्ग हिड्छेस |,0,
4289,simulation_non_ipv,common,जनता अझै रोइरहेका छन् माओबादी केन्द्र त्यो देख्दैन उस्लाई त अझै सत्ता र कुर्सीको मोह छ |,0,
2926,simulation_non_ipv,common,प्रचन्ड ले नै बिगारेको छ अहिले नेपाल भर्स्ट्चार बलत्कार हत्या र केपि ले गर्न खोजे पनि प्रचण्ड ले अर्को मोड मा लिन्छ चोर हत्यारा प्रचण्ड नेपाली होइन देशी ईन्डियानि हो तेस् को नेपाली प,1,1
4970,twitter,common,"जब मान्छे नशामा हुन्छ तब उसको असली चरित्र बाहिर आउछ त्यो नशा धन को होस , पदको होस , रुपको होस या रक्सिको |",0,
4627,simulation_non_ipv,common,यो गधा ले झुट बोल्यो इन्काउटर को नाम मा मान्छे मार्न पाईन्छ मुठभेड भए को मान्छे को हात 3 ठाउ मा भाचिन्छ ।,1,1
3498,simulation_non_ipv,common,चुनाब लागेर हो । अर्को वर्ष बाट घट्छ। ।,0,
6191,twitter,common,त्यो काठमाण्डुको छाडा गाई गोरुलाई गिद्ध रेस्टुरेन्टमा लगेर छोडे हुने नि ।,0,
