text,abuse,sexual_content_score
Chautariko madal bajauna diya paxi jasle pani bajai halchh ni bhirera po hinnu bhayana tw . .,0,0.0
सावित्री सुबिदिलाइ सिदै गोलीहान सरकार ।,1,1.0
"फ्रि फायर गेमबाट चिनजान , त्यसपछि बलात्कार |",1,1.0
अति गरे नि शासकले ।,0,0.0
सँगै हिड्ने सँगै सुत्ने अनि बलात्कार भयो भन्न मिल्छ ? बलात्कार भनेको के हो ? बल जबर्जस्ती कसैको चाहना बिपरित गरिने यौन कार्य त होला ? कि अलग हो मन मिल्दा चमत्कार break लाग्दा बलात्कार ?,1,9.0
यो बापती खाते भाउजुको पोईसाले बिदेसी कुकुर राडिको छोरो ले धर्म छोडेर राजा मार्ने खाते किरा परेर मरोस राडिको छोरा !,1,1.0
गद्दार सर्कार को आँखा लागि सक्यो ।,1,1.0
छोरो मान्छेको जति ठूलो मन कसैको हुन्न बिचारा |,0,0.0
कति भुक्नुहुन्छ कुकुर ? तपाईको पार्टी सभापती लाटो हुनुहुन्छ भन्ने थाहा छैन। ।,1,1.0
बिहे नगरेका कति रहेछन् भन्ने कुराको जानकारी पनि दिनुपर्ने हो। ।,0,0.0
प्रेम आलेले मलाई मार्दिन्छु भनिसक्यो भन्दै बुरुक्क बुरुक्क उफ्रिए DR . SURENDRA KC |,1,1.0
"आठ जना दमाई केटाले एउटि केटि बलात्कार गरेछन सुनसान छन अधिकारकर्मीहरु मानब अधिकारकर्मिहरु यदि त्यहि ठाउँमा बलात्कृत महिला दमिनि हुन्थिन भने बाबुराम , नारायण वाग्ले , अधिकारकर्मी सबै नारा लगाई सक्थे भन्नुको मतलब यहाँ अपराधमा पनि जातीयता क्षेत्रीयताको गन्ध आउछ दोषि उपर कडा कार्बाहि होस।",1,8.0
गर्वपतन र हत्यामा केही भिन्नता देख्दिन म |,1,1.0
"ए , बिचराहरु खुशी छ भने छोडनुनि हौ के सारो अरुको खुशीलाई जबर्जस्ती के खोस्न खोजेको |",0,0.0
- छोरी जन्माए बलाकृत हुन्छिन भनेर नडराउँ बरु बलात्कार गर्ने छोरा भए गर्भमै मारेर फाल |,1,3.0
त्यो खाते सङ नमिले हुन्छ मार्छ झन नमिल्नु |,1,1.0
यौटी नकचरी लाई हटायर जारी बुज्नेलाई जोडेछन ? के रहेछ कुरो ?,1,1.0
तिम्रो आक्रोश तिमी सङै राख तिमिलाई काम लाग्छ। ।,0,0.0
त्यसैले घर मिलाएर राख्ने वा भाँड्ने सम्बन्धमा पहिलो हात छोरीबुहारीकै हुन्छ। ।,0,0.0
बाढी त त्यसै बदनाम छदै थियो मेलम्ची त अलच्छिनी हरुले उद्धघाटनको हतार ले कामै न सक्की ड्याम थुनेर डुबाए !,1,1.0
नेपालीलाई ईंग्लिश मा बोलेको हो |,0,0.0
देख्यौं नारी चरित्र ! कति निर्लज्ज र स्वार्थी हुँदा रहेछन् । उता सेटिङ मिल्यो एउटा कुरा अनि मिलेन अर्कै कुरा । दुइटै हातमा लड्डु !,1,1.0
छाडा नबोल |,0,0.0
सुन भाई बुइनि हो चिन्जान नभए पनि pos मा Reac त गर्देउ कम्सेकम तिमी हरु जिउँदै छौ भन्ने त थाहा हुन्छ |,0,0.0
त झल्ला किन बढि जान्ने हुन्छेस दुनिया ट्रकका खलेको चुसेर पुगेन र अरुको कुरा काटेर हिड्छेस। पहिला आफु कुनै गरिब लाई सानो सहयोग गरेर देखा बिना स्वार्थ अनि भुक नत्र चुप लागेर बस |,1,10.0
"यो हो पहिला चाहिने , टावर होइन |",0,0.0
यस्ता पुसिल्लाइ भाला नै हानु पर्छ साला कुकुर हरु तेसरी पिते को छ अझ भन्छ पुलिस को गल्ती भा को छैन भनेर ।,1,1.0
आफु ले गरे चमत्कार अरु ले गरे बलात्कार ?,1,4.0
वडा कार्यलय मा लस्टै झ्याउ गर्दिन्छ म खुद छोरिको लागि जादा जन्म दर्ता बनाउन एति गारो परेको थियो |,0,0.0
केटी अब जिन्दगीका सबै उकाली ओरालि तिमी सङ्गै हिँड्ने मन छ केटा अनि सिधा बाटाे तेरो भुपु सङ्ग हिड्छेस |,0,0.0
जनता अझै रोइरहेका छन् माओबादी केन्द्र त्यो देख्दैन उस्लाई त अझै सत्ता र कुर्सीको मोह छ |,0,0.0
"जब मान्छे नशामा हुन्छ तब उसको असली चरित्र बाहिर आउछ त्यो नशा धन को होस , पदको होस , रुपको होस या रक्सिको |",0,0.0
यो गधा ले झुट बोल्यो इन्काउटर को नाम मा मान्छे मार्न पाईन्छ मुठभेड भए को मान्छे को हात 3 ठाउ मा भाचिन्छ ।,1,1.0
चुनाब लागेर हो । अर्को वर्ष बाट घट्छ। ।,0,0.0
अब बिप्लब काे पाटि ले पुलिस लाई अाक्रमण गरयाे भने । 3 करोड नेपाली जनता तलब नखायर बचे का छन ए नेपाल पुलिस र आर्मी हरु के जनामुत्ति सेना पनि 10 बर्ष तलब खायर लडे का थीए सक्छौ भने ती बन्दुक बिप्लप लाई हईना सरकार लाई हान तिमी हरू लाई महान मान्निछ र नेपाल मा छिट्टै शान्ति आउने छ ।,1,1.0
यो डिसलाइक गर्ने १२ जाना लाई रबि ज्यु हिरासत मा भए को मन पर्ने थिएछ भने पछि खाते हरु . . . . . . . . . . ?,1,1.0
नेपालका राजनीतिक दलका नेता र मन्त्रीको दम्भ यती सम्म छ कि ? रिस उठो भने सिधै तपाई मार्दिन्छु सम्म भन्न भ्याउछन। प्रसंग—भौतीक यातायात मन्त्री रेणु कुमारी यादव |,1,1.0
महँगो पेट्रोल को सदुपयोग |,0,0.0
केशु बैनी को सम्पुर्ण कुरामा मेरो पुर्ण समर्थन छ। नमन छ बैनी केशु |,0,0.0
"केरा सधै झुन्डिएर नै बस्छ भानिज , नपत्याए आफ्नै छाम्नुस् |",1,9.0
भन्दे एउ टा राजा फाल्ने मुर्कट्टा हरु आज हज्जारौं ब्वाँसा मिलेर गिद्ध ले सिनो लुछे जसरी लुटेर देश नै सखाप पार्र्यो ।,1,1.0
छानबिन गरि आमाको नामबाट भए पनि नेपाली नागरिकता पाउनु पर्छ |,0,0.0
Herda tw soji dekhinxe tw tyo aaima |,0,0.0
"कुकुर होला , गोरुले मासु खादैन। ।",0,0.0
गठबन्धनको गाँठो फुकाउन अब ढिलो नगरौं। धनीको कुकुर हुनु भन्दा गरिबको गाई हुनु बेस।,0,0.0
चोर हरु लाजै नलाग्ने कुरा गर्छन् ।,1,1.0
गफै त हो |,0,0.0
पुन्डे लाई गाला फुट्ने गरि हाने को हेर्न मन छ ।,1,1.0
नेपाली कांग्रेस का झोले कार्यकर्ता नेपाल मा बिकास बिरोध प्रदर्शन गर्ने कि न कि नेपाली कांग्रेसका लाइ भारत ले कसम खुवाएको छ नेपाल मा कुनै पनि बिकास हुन नदिनु भनेर जब सम्म भारतीय दलाल कुकुर नेपाली कांग्रेस र काग्रेस का कू कार्यकर्ता रहन्छन् तब सम्म नेपाल मा कुनै बिकास हुन दिदैन |,1,1.0
यो आइमाई नि नेपाली कांग्रेसको झोल हुनुपर्छ |,1,1.0
"फ्रिफायरबाट चिनजान , १३ वर्षीया नाबालिका पाल्पाबाट भगाएर काठमाडौंमा बलात्कार - Tech News Nepal |",1,10.0
घर भाँड्ने बहानामा मित्रता भाँड्ने खड्यन्त्र |,1,1.0
"म अगरबत्ति जस्तै हुँ प्रिय ! तिमी जति नै मलाइ चोटको आगोमा जलाउ , म सधै प्रेमको सुबास दिईरहन्छु ।",0,0.0
"डुलुवा कुकुर पालिएको घर छाडेर अरू घरमा कलो चाहार्दै गर्छन् , कसले मीठो खाएछ भन्दै ? बर्तमान गणतन्त्रेहरूको हालत , मलाई त , डुलुवा कुकुर जस्तै पो लाग्यो त ! अॅझै चुनाव नहुनु पर्छ ? जय मातृभूमि नेपाल आमाको ! धन्ने लोकतान्त्रिक गणतन्त्र को उपलब्धि ! जयश्री पशुपतिनाथ !",1,1.0
बिना बाउ भएको नाजायज सन्तान जस्तै बिना भोट बिना पार्टी देउवा र प्रचण्ड को कृपाबाट बनेको बजारु हरु सरकार छोडे भने के औकात मा रहला र ?,1,1.0
"अलक्षिन पसेकै हाे । एउटा टाउकाे माेलवाला , अर्काे माेल ताेक्नेवाला , घर जलाएर खरानी बेच्नेवाला , गौर हत्याकाण्डकाे नाईके अलक्षिनी , संघियताकाे घाेर बिराेध गरेर कांग्रेसको ओैलाे समात्न पुग्ने केसी बा , र श्रीमतीलाई जागिर खुवाउन शिद्दान्तलाई तिलन्जली दिने माेहन बिक्रम अलक्षिन नै हुन् ।",1,1.0
छाडा बोलनमाता म माह्युरछु तर कता कसरी लबिन हुने थाहा छैन |,0,0.0
इज्जत गर्न सक्दैनौं भने बेइज्जत पनि नगर |,0,0.0
उत्तर कोरिया मा किमजोङ्ग ले अराजक लाई रोड मा लगेर गोलि हान्छ ।,1,1.0
"पहिले घृणा गरिस् र त , तँ अहिले घृणामा छस् पहिले जिउँदो थिएँ र त , म अहिले जिउँदै छु |",0,0.0
केताले श्रीमती हुदा हुदै अरकाे लयेर छाेदन मिलने केति मानछे चहि श्रिरिमान 1 गलतिनि माफ गर दैनन |,0,0.0
फिल्म प्रचार को लागि मात्रै भएको भये पुलिस केश हुने थिएन होला मलाई त्यस्तो लाग्छ ! !,0,0.0
साला म २ - ४ वर्षको उमेर देखि त्यो को नाम र त्यहांको अवस्था जहिले दुखदाई सुन्थें। किन कर्णालीलाई सासकहरूले भूले ? म गम खायर भन्छु - “ बन्छ कर्णाली ? यस्ता साला कुकुर जस्ता मुख्यमन्त्री पायो भने कर्णाली उहि को जस्तो हुन्छ। ।,1,1.0
सबै भन्दा पहिला यो सबित्री छक्का लाइ लात लाएर देश निकाल गर ।,1,5.0
५ दिनदेखि हराएका श्रीमान घर फर्किदा श्रीमति खुशी भइन के श्रीमति त्यसै गरी अाएको भए श्रीमानले सकार्थे भन्दै अर्काको भाँड्ने खेलो शुरू गरिसके पल्ला गाम्तिर । मान्छेका फुर्सद हरे !,0,0.0
यो बलात्कारी धोति लाई नै पहिलो फांसी दिएर बलात्कारि हरु लाई फांसि को सजाय हुने कानुन बनाउन पर्यो !,1,5.0
म नि अब कुकर र कराई बोकेर मेचीमहाकाली अभियान सुरु गर्नु पर्ला जस्तो छ |,0,0.0
तिनीहरुले तपाईलाई प्रभाब परेका छन्। ।,0,0.0
पहिला त हैन ! समाजबादी सँग पार्टीनै एकीकरण भए दोस्रो हुनसक्छ | नत्र गारो छ |,0,0.0
नम्बर नै छैन कसरी छाडा बोल्नु खै। कुनै तरिका भए हामी पनि सिकौ न हो।,0,0.0
काहा जाउलि मछिलि मेरै ढडिया अब न जालमा न तालमा |,0,0.0
गगन थापा रणडी को छोरा माचिक्ने चोर कुकुर अझ पढ्नै नसक्ने लेख लाई र कमेन्ट लाई बन्द गर्नु पर्छ भन्द के भो मान्यवर ?,1,1.0
पेट्रोलियम पदार्थमा कृत्रिम अभाव सिर्जना गरेर कमिसन खाने कर्मचारी अनि नेताका झोले कार्यकर्तालाई जिउँदै जलाउनु पर्छ अनि मात्र जनताको रगतमा लागेको आगो निभ्छ ।,1,1.0
अनि आफ्नै सरकारले गलत गरेसी त्यस्को जवाफदेहिता हामी होईनौ है भन्ने कस्ता गतिछाडा नेता यि ?,1,1.0
सत्य सेवा सुरक्षणम आज झुट आक्रमण भक्क्षणम मेरो गणतन्त्र नेपाल ।,0,0.0
कसैको चरीत्र हत्या गर्नु पनि महा पाप हो त्यसैले कोहि कसैको चरीत्र हत्या गर्ने काम गर्नु र गराउनु हुन्न। ।,1,1.0
"म ठिक छु , कृपया तिमि तेहा बाट जाउ। ।",0,0.0
जनताले सोध्लान खै संविधान भन्लान नेताहरुको खल्तिमा छ भन्दिए । जनताले सोध्लान खै देशको सुशासन भन्लान आर्यघाटमा जिउँदै डढ्यो भन्दिए ।,1,1.0
बिहे त परै अब कस्ले हेर्ला ।,0,0.0
तिम्रो बाबाले के काम गर्नु हुन्छ |,0,0.0
दाल मे कुच काला हे। ।,0,0.0
भोट हलो मा आऊने पक्का भयो |,0,0.0
"हैन , म कन्फ्युज्ड भएछु हऊ ! नोमिनेसनमा चाहिँ परेको हो तर राजन मुकारूङ् दाजुको दमदार कृति दमिनी भीर ले पाएको हो। म मेरो गल्ती र अज्ञानताप्रति क्षमा माग्दै र लज्जित महशुस गर्दै मैले गरेको पोष्ट हटाउन चाहन्छु , धन्यवाद। ।",0,0.0
यदी कसैलाइ hnxm boyfriend चाहिएको छ भने मलाइ Add गर्नुहोला |,0,0.0
"याे सुरज नि मिले को , , खाते हाे , , , पदमुखि प्रहरी मुखि साला भाते कुरा घुमाउछ ।",1,1.0
