annotator,text,is_abuse,sexual_score,created_at,aspects_anno,username
kiran,Chautariko madal bajauna diya paxi jasle pani bajai halchh ni bhirera po hinnu bhayana tw . .,0.0,,,,
kiran,सावित्री सुबिदिलाइ सिदै गोलीहान सरकार ।,1.0,1.0,,,
kiran,"फ्रि फायर गेमबाट चिनजान , त्यसपछि बलात्कार |",1.0,1.0,,,
kiran,उहो कुकुर वाला |,0.0,,2022-04-20 21:45:16,[],upians
kiran,अति गरे नि शासकले ।,0.0,,,[],
kiran,सँगै हिड्ने सँगै सुत्ने अनि बलात्कार भयो भन्न मिल्छ ? बलात्कार भनेको के हो ? बल जबर्जस्ती कसैको चाहना बिपरित गरिने यौन कार्य त होला ? कि अलग हो मन मिल्दा चमत्कार break लाग्दा बलात्कार ?,1.0,9.0,,,
kiran,यो बापती खाते भाउजुको पोईसाले बिदेसी कुकुर राडिको छोरो ले धर्म छोडेर राजा मार्ने खाते किरा परेर मरोस राडिको छोरा !,1.0,1.0,2022-04-13 13:49:32,"[(9, 13, 'profanity'), (22, 54, 'profanity'), (81, 85, 'profanity'), (86, 100, 'physical_threat'), (101, 112, 'profanity')]",OTandapa
kiran,यो पन्ने मुजिलाइ ब्रेनवास गर्नकोलागि राडिकाछोरा ले खटाए को छ ।,1.0,1.0,,"[(9, 16, 'profanity'), (37, 47, 'profanity')]",
kiran,गद्दार सर्कार को आँखा लागि सक्यो ।,1.0,1.0,,,
kiran,छोरो मान्छेको जति ठूलो मन कसैको हुन्न बिचारा |,0.0,,,,
kiran,कति भुक्नुहुन्छ कुकुर ? तपाईको पार्टी सभापती लाटो हुनुहुन्छ भन्ने थाहा छैन। ।,1.0,1.0,2022-04-18 19:59:00,[],SudipBh47967990
kiran,बिहे नगरेका कति रहेछन् भन्ने कुराको जानकारी पनि दिनुपर्ने हो। ।,0.0,,,[],
kiran,प्रेम आलेले मलाई मार्दिन्छु भनिसक्यो भन्दै बुरुक्क बुरुक्क उफ्रिए DR . SURENDRA KC |,1.0,1.0,2022-01-30 16:46:21,"[(17, 27, 'physical_threat')]",mediapnp
kiran,"आठ जना दमाई केटाले एउटि केटि बलात्कार गरेछन सुनसान छन अधिकारकर्मीहरु मानब अधिकारकर्मिहरु यदि त्यहि ठाउँमा बलात्कृत महिला दमिनि हुन्थिन भने बाबुराम , नारायण वाग्ले , अधिकारकर्मी सबै नारा लगाई सक्थे भन्नुको मतलब यहाँ अपराधमा पनि जातीयता क्षेत्रीयताको गन्ध आउछ दोषि उपर कडा कार्बाहि होस।",1.0,8.0,2021-12-30 14:32:54,"[(7, 18, 'ethnic_violence')]",BasnetTirtha5
kiran,गर्वपतन र हत्यामा केही भिन्नता देख्दिन म |,1.0,1.0,,[],
kiran,"ए , बिचराहरु खुशी छ भने छोडनुनि हौ के सारो अरुको खुशीलाई जबर्जस्ती के खोस्न खोजेको |",0.0,,,,
kiran,- छोरी जन्माए बलाकृत हुन्छिन भनेर नडराउँ बरु बलात्कार गर्ने छोरा भए गर्भमै मारेर फाल |,1.0,3.0,2022-04-20 18:32:07,"[(75, 84, 'physical_threat')]",Rajen_Ghimire14
kiran,त्यो खाते सङ नमिले हुन्छ मार्छ झन नमिल्नु |,1.0,1.0,,,
kiran,"रामप्रसाद उप्रेतीजीलाई एकीकृत शक्ति नेपालले ठूलो सम्मान दिएको थियो। पार्टीको नाममा भद्रकाली मन्दिरमा रगत चढाएर शपथ लिएका उप्रेतीजीले छाडा र सस्ता टिकटक नबनाउन , जथाभावी नबोल्न र मदिरा सेवनलाई चौबिस घण्टाबाट एक घण्टामा झार्न सुझाव र निर्देशन दिएकै भरमा पार्टी छोडेर छ। ।",0.0,,,,
kiran,यौटी नकचरी लाई हटायर जारी बुज्नेलाई जोडेछन ? के रहेछ कुरो ?,1.0,1.0,,,
kiran,तिम्रो आक्रोश तिमी सङै राख तिमिलाई काम लाग्छ। ।,0.0,,,,
kiran,त्यसैले घर मिलाएर राख्ने वा भाँड्ने सम्बन्धमा पहिलो हात छोरीबुहारीकै हुन्छ। ।,0.0,,2020-07-11 22:33:42,[],Kaamadeb
kiran,बाढी त त्यसै बदनाम छदै थियो मेलम्ची त अलच्छिनी हरुले उद्धघाटनको हतार ले कामै न सक्की ड्याम थुनेर डुबाए !,1.0,1.0,2021-10-19 19:38:31,"[(38, 46, 'profanity')]",Sumankh46
kiran,नेपालीलाई ईंग्लिश मा बोलेको हो |,0.0,,,[],
kiran,देख्यौं नारी चरित्र ! कति निर्लज्ज र स्वार्थी हुँदा रहेछन् । उता सेटिङ मिल्यो एउटा कुरा अनि मिलेन अर्कै कुरा । दुइटै हातमा लड्डु !,1.0,1.0,,,
kiran,छाडा नबोल |,0.0,,2022-04-18 18:21:04,[],me_aakash99
kiran,म धेरै खुसि छु कि तपाइँ मेरो जिवनमा हुनु हुन्छ। ।,0.0,,,[],
kiran,सुन भाई बुइनि हो चिन्जान नभए पनि pos मा Reac त गर्देउ कम्सेकम तिमी हरु जिउँदै छौ भन्ने त थाहा हुन्छ |,0.0,,,,
kiran,त झल्ला किन बढि जान्ने हुन्छेस दुनिया ट्रकका खलेको चुसेर पुगेन र अरुको कुरा काटेर हिड्छेस। पहिला आफु कुनै गरिब लाई सानो सहयोग गरेर देखा बिना स्वार्थ अनि भुक नत्र चुप लागेर बस |,1.0,10.0,2019-02-09 22:16:04,"[(31, 62, 'character_assasination')]",Vezza_Fry
kiran,"यो हो पहिला चाहिने , टावर होइन |",0.0,,,[],
kiran,यस्ता पुसिल्लाइ भाला नै हानु पर्छ साला कुकुर हरु तेसरी पिते को छ अझ भन्छ पुलिस को गल्ती भा को छैन भनेर ।,1.0,1.0,,,
kiran,आफु ले गरे चमत्कार अरु ले गरे बलात्कार ?,1.0,4.0,,,
kiran,वडा कार्यलय मा लस्टै झ्याउ गर्दिन्छ म खुद छोरिको लागि जादा जन्म दर्ता बनाउन एति गारो परेको थियो |,0.0,,,,
kiran,यो लोग्ने मानिस बोको रैछ कान्छी श्रीमती चै माहान महिला रैछ |,1.0,1.0,,"[(16, 20, 'profanity')]",
kiran,केटी अब जिन्दगीका सबै उकाली ओरालि तिमी सङ्गै हिँड्ने मन छ केटा अनि सिधा बाटाे तेरो भुपु सङ्ग हिड्छेस |,0.0,,,,
kiran,जनता अझै रोइरहेका छन् माओबादी केन्द्र त्यो देख्दैन उस्लाई त अझै सत्ता र कुर्सीको मोह छ |,0.0,,,,
kiran,प्रचन्ड ले नै बिगारेको छ अहिले नेपाल भर्स्ट्चार बलत्कार हत्या र केपि ले गर्न खोजे पनि प्रचण्ड ले अर्को मोड मा लिन्छ चोर हत्यारा प्रचण्ड नेपाली होइन देशी ईन्डियानि हो तेस् को नेपाली प,1.0,1.0,,,
kiran,"जब मान्छे नशामा हुन्छ तब उसको असली चरित्र बाहिर आउछ त्यो नशा धन को होस , पदको होस , रुपको होस या रक्सिको |",0.0,,,,
kiran,यो गधा ले झुट बोल्यो इन्काउटर को नाम मा मान्छे मार्न पाईन्छ मुठभेड भए को मान्छे को हात 3 ठाउ मा भाचिन्छ ।,1.0,1.0,,,
kiran,चुनाब लागेर हो । अर्को वर्ष बाट घट्छ। ।,0.0,,,[],
kiran,त्यो काठमाण्डुको छाडा गाई गोरुलाई गिद्ध रेस्टुरेन्टमा लगेर छोडे हुने नि ।,0.0,,2022-04-15 16:05:06,[],saradritu1
kiran,"म संग छाडा बोल्ने अनि एसएमएस गर्ने कुनै छ भने आउनुस् है हजुर , |",0.0,,,,
kiran,अब बिप्लब काे पाटि ले पुलिस लाई अाक्रमण गरयाे भने । 3 करोड नेपाली जनता तलब नखायर बचे का छन ए नेपाल पुलिस र आर्मी हरु के जनामुत्ति सेना पनि 10 बर्ष तलब खायर लडे का थीए सक्छौ भने ती बन्दुक बिप्लप लाई हईना सरकार लाई हान तिमी हरू लाई महान मान्निछ र नेपाल मा छिट्टै शान्ति आउने छ ।,1.0,1.0,,,
kiran,यो डिसलाइक गर्ने १२ जाना लाई रबि ज्यु हिरासत मा भए को मन पर्ने थिएछ भने पछि खाते हरु . . . . . . . . . . ?,1.0,1.0,,,
kiran,नेपालका राजनीतिक दलका नेता र मन्त्रीको दम्भ यती सम्म छ कि ? रिस उठो भने सिधै तपाई मार्दिन्छु सम्म भन्न भ्याउछन। प्रसंग—भौतीक यातायात मन्त्री रेणु कुमारी यादव |,1.0,1.0,,,
kiran,महँगो पेट्रोल को सदुपयोग |,0.0,,,[],
kiran,केशु बैनी को सम्पुर्ण कुरामा मेरो पुर्ण समर्थन छ। नमन छ बैनी केशु |,0.0,,,,
kiran,"केरा सधै झुन्डिएर नै बस्छ भानिज , नपत्याए आफ्नै छाम्नुस् |",1.0,9.0,,,
kiran,भन्दे एउ टा राजा फाल्ने मुर्कट्टा हरु आज हज्जारौं ब्वाँसा मिलेर गिद्ध ले सिनो लुछे जसरी लुटेर देश नै सखाप पार्र्यो ।,1.0,1.0,,"[(24, 37, 'profanity')]",
kiran,यो तालु खुइले धेरै चम्किदै छ यस को टाउको मा सिधै गोली हान्नु पर्ने थियोे ।,1.0,1.0,,,
kiran,"जिन्दगी जिउनु पनि कसैको ऋण तिर्नुजस्तै भैसक्यो , जिन्दगी उसको लागी जिउदै छु जसको ऋण तिर्नु छ ।",0.0,,2022-04-16 14:07:48,[],BhamalaDhamala
kiran,छानबिन गरि आमाको नामबाट भए पनि नेपाली नागरिकता पाउनु पर्छ |,0.0,,,,
kiran,राजा हटेर जन्ता लाई के फाएदा भयो जन्ता झन बल्त्कार चोरि बडे को छ कि चोर पनि कस्तो ३८ कुईन्टल सम्म चोरि हुन्छ प्रचन्ड र केपि अोलि दुई जना ले जन्ता अघाए को हो रराज अतिए र मात्र गनतन्त्र अाए को नअातिनु हो भने नेपाल मा गारो हुनथियो ।,1.0,1.0,,"[(42, 50, 'rape_threat'), (68, 71, 'profanity')]",
kiran,Herda tw soji dekhinxe tw tyo aaima |,0.0,,,[],
kiran,खड्ग कुमारी पनि होरे |,0.0,,,[],
kiran,"कुकुर होला , गोरुले मासु खादैन। ।",0.0,,2022-04-20 13:49:52,[],ExpressEkhabar
kiran,गठबन्धनको गाँठो फुकाउन अब ढिलो नगरौं। धनीको कुकुर हुनु भन्दा गरिबको गाई हुनु बेस।,0.0,,2022-04-19 16:11:22,"[(44, 49, 'profanity')]",Pankaj2015Rai
kiran,चोर हरु लाजै नलाग्ने कुरा गर्छन् ।,1.0,1.0,,"[(0, 3, 'profanity')]",
kiran,गफै त हो |,0.0,,,,
kiran,मान्छेहरू भन्छन् आत्महत्या गर्ने त कायरहरूले हो तर त्यही आत्महत्या गर्न पनि धेरै साहस चाहिदो रहेछ |,1.0,1.0,2022-04-17 10:36:21,[],MilanGyawali15
kiran,यो अाइमाई। लाई त ठागी मुध्दामा जेल हाल्नु पर्छा। ।,1.0,1.0,,[],
kiran,पुन्डे लाई गाला फुट्ने गरि हाने को हेर्न मन छ ।,1.0,1.0,,"[(11, 45, 'physical_threat')]",
kiran,नेपाली कांग्रेस का झोले कार्यकर्ता नेपाल मा बिकास बिरोध प्रदर्शन गर्ने कि न कि नेपाली कांग्रेसका लाइ भारत ले कसम खुवाएको छ नेपाल मा कुनै पनि बिकास हुन नदिनु भनेर जब सम्म भारतीय दलाल कुकुर नेपाली कांग्रेस र काग्रेस का कू कार्यकर्ता रहन्छन् तब सम्म नेपाल मा कुनै बिकास हुन दिदैन |,1.0,1.0,2022-04-16 11:29:10,"[(177, 187, 'profanity')]",SS14186584
kiran,यो आइमाई नि नेपाली कांग्रेसको झोल हुनुपर्छ |,1.0,1.0,,[],
kiran,"फ्रिफायरबाट चिनजान , १३ वर्षीया नाबालिका पाल्पाबाट भगाएर काठमाडौंमा बलात्कार - Tech News Nepal |",1.0,10.0,2022-04-13 17:59:03,[],UjjwalBikram
kiran,घर भाँड्ने बहानामा मित्रता भाँड्ने खड्यन्त्र |,1.0,1.0,,,
kiran,"म अगरबत्ति जस्तै हुँ प्रिय ! तिमी जति नै मलाइ चोटको आगोमा जलाउ , म सधै प्रेमको सुबास दिईरहन्छु ।",0.0,,,,
kiran,"डुलुवा कुकुर पालिएको घर छाडेर अरू घरमा कलो चाहार्दै गर्छन् , कसले मीठो खाएछ भन्दै ? बर्तमान गणतन्त्रेहरूको हालत , मलाई त , डुलुवा कुकुर जस्तै पो लाग्यो त ! अॅझै चुनाव नहुनु पर्छ ? जय मातृभूमि नेपाल आमाको ! धन्ने लोकतान्त्रिक गणतन्त्र को उपलब्धि ! जयश्री पशुपतिनाथ !",1.0,1.0,,,
kiran,बिना बाउ भएको नाजायज सन्तान जस्तै बिना भोट बिना पार्टी देउवा र प्रचण्ड को कृपाबाट बनेको बजारु हरु सरकार छोडे भने के औकात मा रहला र ?,1.0,1.0,,,
kiran,"अलक्षिन पसेकै हाे । एउटा टाउकाे माेलवाला , अर्काे माेल ताेक्नेवाला , घर जलाएर खरानी बेच्नेवाला , गौर हत्याकाण्डकाे नाईके अलक्षिनी , संघियताकाे घाेर बिराेध गरेर कांग्रेसको ओैलाे समात्न पुग्ने केसी बा , र श्रीमतीलाई जागिर खुवाउन शिद्दान्तलाई तिलन्जली दिने माेहन बिक्रम अलक्षिन नै हुन् ।",1.0,1.0,2022-01-04 07:55:24,[],surendr81192007
kiran,छाडा बोलनमाता म माह्युरछु तर कता कसरी लबिन हुने थाहा छैन |,0.0,,2022-04-19 21:16:36,[],GBLMagar2
kiran,इज्जत गर्न सक्दैनौं भने बेइज्जत पनि नगर |,0.0,,2022-04-20 00:27:30,[],Anjana_oct23
