date	text
2022-01-01	1
2022-01-02	5
2022-01-03	7
2022-01-04	7
2022-01-05	6
2022-01-06	6
2022-01-07	3
2022-01-08	5
2022-01-09	2
2022-01-10	10
2022-01-11	7
2022-01-12	1
2022-01-13	2
2022-01-14	2
2022-01-15	8
2022-01-16	2
2022-01-17	5
2022-01-18	5
2022-01-19	3
2022-01-20	4
2022-01-21	1
2022-01-22	2
2022-01-23	2
2022-01-24	2
2022-01-25	12
2022-01-26	10
2022-01-27	1
2022-01-28	4
2022-01-29	5
2022-01-30	4
2022-01-31	3
2022-02-01	2
2022-02-02	5
2022-02-03	2
2022-02-04	1
2022-02-05	2
2022-02-06	2
2022-02-07	4
2022-02-08	4
2022-02-09	2
2022-02-10	3
2022-02-11	3
2022-02-12	5
2022-02-13	4
2022-02-14	8
2022-02-15	3
2022-02-16	4
2022-02-17	3
2022-02-18	5
2022-02-19	5
2022-02-20	6
2022-02-21	13
2022-02-22	10
2022-02-23	4
2022-02-24	6
2022-02-25	10
2022-02-26	9
2022-02-27	6
2022-02-28	17
2022-03-01	7
2022-03-02	9
2022-03-03	13
2022-03-04	8
2022-03-05	8
2022-03-06	6
2022-03-07	4
2022-03-08	3
2022-03-09	5
2022-03-10	7
2022-03-11	10
2022-03-12	10
2022-03-13	12
2022-03-14	15
2022-03-15	5
2022-03-16	8
2022-03-17	3
2022-03-18	7
2022-03-19	8
2022-03-20	9
2022-03-21	10
2022-03-22	8
2022-03-23	3
2022-03-24	7
2022-03-25	11
2022-03-26	4
2022-03-27	8
2022-03-28	7
2022-03-29	12
2022-03-30	10
2022-03-31	11
2022-04-01	8
2022-04-02	9
2022-04-03	22
2022-04-04	13
2022-04-05	10
2022-04-06	12
2022-04-07	6
2022-04-08	12
2022-04-09	10
2022-04-10	9
2022-04-11	7
2022-04-12	17
2022-04-13	15
2022-04-14	6
2022-04-15	15
2022-04-16	19
2022-04-17	15
2022-04-18	12
2022-04-19	11
2022-04-20	16
2022-04-21	25
2022-04-22	21
2022-04-23	18
2022-04-24	25
2022-04-25	22
2022-04-26	27
2022-04-27	39
2022-04-28	37
2022-04-29	45
2022-04-30	46
